OriginAirportID,DestAirportID,DayOfWeek,delay_events,n,smoothed_delay_prob
10397,14908,7,1,12,0.14285714285714285
10397,15016,1,7,40,0.19047619047619047
10397,15016,2,3,28,0.13333333333333333
10397,15016,3,8,35,0.24324324324324326
10397,15016,4,8,33,0.2571428571428571
10397,15016,5,5,33,0.17142857142857143
10397,15016,6,6,37,0.1794871794871795
10397,15016,7,9,43,0.2222222222222222
10397,15304,1,12,69,0.18309859154929578
10397,15304,2,11,63,0.18461538461538463
10397,15304,3,15,84,0.18604651162790697
10397,15304,4,12,67,0.18840579710144928
10397,15304,5,9,57,0.1694915254237288
10397,15304,6,11,69,0.16901408450704225
10397,15304,7,9,59,0.16393442622950818
10397,15376,1,1,7,0.2222222222222222
10397,15376,2,2,7,0.3333333333333333
10397,15376,3,2,5,0.42857142857142855
10397,15376,4,2,8,0.3
10397,15376,5,1,4,0.3333333333333333
10397,15376,6,0,3,0.2
10397,15376,7,1,6,0.25
10423,10397,1,11,36,0.3157894736842105
10423,10397,2,3,20,0.18181818181818182
10423,10397,3,7,32,0.23529411764705882
